0,2105,2105
1,3070,2915
2,2915,805
3,2325,2830
4,805,3420
5,1000,1340
6,2830,1555
7,3810,2645
8,3420,1270
9,1645,1400
10,1340,1130
11,1285,1350
12,1555,1085
13,1500,910
14,2645,1400
15,2785,1435
16,1270,1150
17,500,1545
18,1400,1270
19,615,1285
20,1130,1435
21,1000,785
22,1350,710
23,1565,955
24,1085,1165
25,1420,1645
26,910,1595
27,1265,455
28,1400,805
29,1015,1050
30,1435,560
31,1060,1530
32,1150,3275
33,305,3510
34,1545,650
35,765,1415
36,1270,1760
37,785,650
38,1285,830
39,980,560
40,1435,850
41,1085,0
42,785,480
43,1340,1150
44,710,910
45,1210,1050
46,955,500
47,1000,1230
48,1165,1040
49,1060,955
50,1645,910
51,2200,150
52,1595,455
53,1085,150
54,455,830
55,1400,455
56,805,500
57,1490,850
58,1050,0
59,560,980
60,560,1040
61,800,500
62,1530,800
63,0,1410
64,3275,305
65,3990,1570
66,3510,1255
67,1105,955
68,650,150
69,700,655
70,1415,1245
71,1295,455
72,1760,710
73,1235,560
74,650,650
75,500,1000
76,830,760
77,650,760
78,560,350
79,1240,305
80,850,150
81,1400,910
82,0,650
83,805,500
84,480,1180
85,150,1435
86,1150,850
87,1360,800
88,910,1305
89,1190,910
90,1050,1260
91,1115,455
92,500,1000
93,800,615
94,1230,1265
95,980,3955
96,1040,3675
97,500,615
98,955,300
99,1285,1825
100,910,760
101,980,1315
102,150,1435
103,1200,1260
104,455,850
105,480,1260
106,150,1970
107,500,1015
108,830,350
109,700,735
110,455,1680
111,150,350
112,500,1135
113,605,865
114,850,1735
115,805,850
116,0,1165
117,710,1965
118,980,810
119,305,1005
120,1040,1200
121,150,2885
122,500,1095
123,710,1060
124,800,2455
125,1265,2145
126,1410,1665
127,1175,3230
128,305,4328
129,1255,4228
130,1570,4069
131,980,3995
132,1255,3946
133,1480,3910
134,955,3881
135,455,3857
136,150,3836
137,910,3818
138,655,3802
139,350,3788
140,1245,3774
141,1150,3762
142,455,3751
143,560,3741
144,710,3731
145,150,3722
146,560,3714
147,830,3706
148,650,3698
149,655,3691
150,1000,3684
151,350,3677
152,760,3671
153,455,3665
154,760,3659
155,560,3654
156,350,3648
157,655,3643
158,305,3638
159,150,3633
160,150,3629
161,910,3624
162,910,3620
163,1190,3616
164,650,3612
165,455,3608
166,500,3604
167,500,3600
168,1180,3596
169,1500,3592
170,1435,3589
171,1265,3586
172,850,3582
173,650,3579
174,800,3576
175,1350,3573
176,1305,3569
177,1260,3566
178,910,3563
179,805,3561
180,1260,3558
181,1175,3555
182,455,3552
183,965,3550
184,1000,3547
185,755,3544
186,615,3542
187,350,3539
188,1265,3537
189,935,3534
190,3955,3532
191,4445,3530
192,3675,3528
193,1365,3530
194,615,3532
195,605,3534
196,300,3537
197,1135,3539
198,1825,3542
199,895,3544
200,760,3547
201,500,3550
202,1315,3552
203,1330,3555
204,1435,3558
205,1385,3561
206,1260,3563
207,920,3566
208,850,3569
209,615,3573
210,1260,3576
211,1545,3579
212,1970,3582
213,1605,3586
214,1015,3589
215,955,3592
216,350,3596
217,1270,3600
218,735,3604
219,1330,3608
220,1680,3612
221,630,3616
222,350,3620
223,1200,3624
224,1135,3629
225,850,3633
226,865,3638
227,1540,3643
228,1735,3648
229,500,3654
230,850,3659
231,150,3665
232,1165,3671
233,1345,3677
234,1965,3684
235,1630,3691
236,810,3698
237,1175,3706
238,1005,3714
239,500,3722
240,1200,3731
241,2830,3741
242,2885,3751
243,1630,3762
244,1095,3774
245,980,3788
246,1060,3802
247,1190,3818
248,2455,3836
249,3045,3857
250,2145,3881
251,1500,3910
252,1665,3946
253,1975,3995
254,3230,
255,3470,
256,4328,
